項次,編號,道路編號,道路方向,里程數_公里,速限_公里_小時,X座標,Y座標,WGS84東經_度,WGS84北緯_度,備註
144,H-5-N-25.3-(90),國道5號,北向,25.3,90,328749.98,2751595.28,121.779332,24.869922,國道5號北向25.3
145,H-5-N-26.7-(90),國道5號,北向,26.7,90,329666.48,2750541.93,121.788341,24.860365,國道5號北向26.7
146,H-5-N-34.9-(90),國道5號,北向,34.9,90,328963.77,2742916.82,121.780956,24.791564,國道5號北向34.9
147,H-6-W-15.6-(100),國道6號,西向,15.6,100,229789.94,2654615.22,120.801365,23.996188,國道6號西向15.6
148,H-6-W-26-(100),國道6號,西向,26,100,238907.64,2652934.42,120.890991,23.981101,國道6號西向26
149,H-6-E-12.5-(100),國道6號,東向,12.5,100,227484.58,2653438.86,120.778725,23.985535,國道6號東向12.5
150,H-6-E-36.5-(100),國道6號,東向,36.5,100,248793.09,2653091.21,120.988139,23.982555,國道6號東向36.5
151,H-8-E-0-(80),國道8號,東向,0,80,167570.25,2553429.71,120.195444,23.080551,國道8號東向0
152,H-8-E-4.2-(80),國道8號,東向,4.2,80,169028.24,2554424.68,120.209621,23.089607,國道8號東向4.2
153,H-8-W-0-(80),國道8號,西向,0,80,167570.25,2553429.71,120.195444,23.080551,國道8號西向0
154,H-10-W-16.8-(100),國道10號,西向,16.8,100,189081.99,2519037.55,120.406753,22.770908,國道10號西向16.8
155,H-10-W-28.3-(100),國道10號,西向,28.3,100,197456.55,2525037.83,120.488103,22.825377,國道10號西向28.3
156,H-10-E-14.7-(100),國道10號,東向,14.7,100,187038.98,2517874.73,120.386905,22.760332,國道10號東向14.7
157,H-10-E-21.4-(100),國道10號,東向,21.4,100,192250.43,2521756.61,120.437507,22.795574,國道10號東向21.4
158,E-2F-N-1.1-(50),臺2己線,北向,1.1,50,323801.46,2782922.6,121.732038,25.152981,臺2己線北向1.1
159,H-3-NS-5.514-(60),國道3號,南北向,5.514,60,204641.14925K97151,2666798.068,120.5538139,24.1056707,國道3號彰化系統交流道南北向出口交會處（匝道5K+514）
